,Unnamed: 0.1,Unnamed: 0,商品名,成分名,口コミ数,評価平均点,運動目的,運動目的2
215,215,9330,カロリーポン,"ターミナリアベリリカ由来没食子酸,バナバ葉由来コロソリン酸,ブラックジンジャー由来ポリメトキシフラボン",2,3.0,無酸素運動無酸素運動ストレッチ,ストレッチ・無酸素運動
216,216,9332,スッキリシトール,ターミナリアベリリカ由来没食子酸,0,,無酸素運動,無酸素運動
217,217,9334,グラボディー（GLABODY）,甘草由来グラブリジン,0,,無酸素運動,無酸素運動
218,218,9335,ゴールドメダルゼロ（GOLDMEDALZERO）,ブラックジンジャー由来ポリメトキシフラボン,0,,無酸素運動,無酸素運動
219,219,9336,ヘレネーズターミナリア,ターミナリアベリリカ由来没食子酸,2,3.5,無酸素運動,無酸素運動
220,220,9337,ナットウキナーゼさらさら粒PREMIUM（プレミアム）＋中性脂肪,DHA・EPA,0,,ストレッチ,ストレッチ
221,221,9339,減脂GIN（ゲンシジン）,ブラックジンジャー由来ポリメトキシフラボン,4,1.75,無酸素運動,無酸素運動
222,222,9341,シックスダウン（sixdown）,エラグ酸,0,,無酸素運動,無酸素運動
223,223,9343,ナップル粒,グロビン由来バリン-バリン-チロシン-プロリン,0,,無酸素運動,無酸素運動
224,224,9344,快朝ハーブ乳酸菌,乳酸菌,0,,ストレッチ,ストレッチ
225,225,9357,メタバリア葛の花イソフラボンEX,葛の花由来イソフラボン,36,2.78,ストレッチ,ストレッチ
226,226,9372,キリンiMUSE免疫ケア×内臓脂肪ダウン,"乳酸菌,葛の花由来イソフラボン",45,2.83,ストレッチストレッチ,ストレッチ
227,227,9373,ラクビプレミアム（LakubiPremium）,"3-(4-ヒドロキシ-3-メトキシフェニル)プロピオン酸 (HMPA),酪酸菌",47,2.09,無酸素運動ストレッチ,ストレッチ・無酸素運動
228,228,9374,えがおフトラント,エラグ酸,1,3.0,無酸素運動,無酸素運動
229,229,9379,新谷酵素葛の花,葛の花由来イソフラボン,0,,ストレッチ,ストレッチ
